"","year_month","year","month","member_casual","rideable_type","number_day_of_week","day_of_week","number_of_trips","total_duration"
"1","2022-08","2022","08","casual","classic_bike",1,"Monday",14542,382831.15
"2","2022-08","2022","08","casual","classic_bike",2,"Tuesday",17709,484195.183333333
"3","2022-08","2022","08","casual","classic_bike",3,"Wednesday",17663,460447.6
"4","2022-08","2022","08","casual","classic_bike",4,"Thursday",14721,378972.366666667
"5","2022-08","2022","08","casual","classic_bike",5,"Friday",20319,590646.75
"6","2022-08","2022","08","casual","classic_bike",6,"Saturday",25821,743897.183333333
"7","2022-08","2022","08","casual","classic_bike",7,"Sunday",17859,529290.6
"8","2022-08","2022","08","casual","docked_bike",1,"Monday",3025,458893.083333333
"9","2022-08","2022","08","casual","docked_bike",2,"Tuesday",3656,502029.983333333
"10","2022-08","2022","08","casual","docked_bike",3,"Wednesday",3312,411175.333333333
"11","2022-08","2022","08","casual","docked_bike",4,"Thursday",2659,304844.083333333
"12","2022-08","2022","08","casual","docked_bike",5,"Friday",4334,588711.016666667
"13","2022-08","2022","08","casual","docked_bike",6,"Saturday",5326,738401.7
"14","2022-08","2022","08","casual","docked_bike",7,"Sunday",4011,625061.75
"15","2022-08","2022","08","casual","electric_bike",1,"Monday",24794,382237.566666667
"16","2022-08","2022","08","casual","electric_bike",2,"Tuesday",30143,465211.333333333
"17","2022-08","2022","08","casual","electric_bike",3,"Wednesday",30513,448623
"18","2022-08","2022","08","casual","electric_bike",4,"Thursday",24971,382299.783333333
"19","2022-08","2022","08","casual","electric_bike",5,"Friday",32214,539516.6
"20","2022-08","2022","08","casual","electric_bike",6,"Saturday",35041,632061.516666667
"21","2022-08","2022","08","casual","electric_bike",7,"Sunday",26284,470743.1
"22","2022-08","2022","08","member","classic_bike",1,"Monday",32437,437874.183333333
"23","2022-08","2022","08","member","classic_bike",2,"Tuesday",39226,562783.95
"24","2022-08","2022","08","member","classic_bike",3,"Wednesday",38135,538776.966666667
"25","2022-08","2022","08","member","classic_bike",4,"Thursday",28839,407260.533333333
"26","2022-08","2022","08","member","classic_bike",5,"Friday",29037,424713.083333333
"27","2022-08","2022","08","member","classic_bike",6,"Saturday",26087,418822.016666667
"28","2022-08","2022","08","member","classic_bike",7,"Sunday",21654,352611.066666667
